secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
101594,20180629,03783310,AAPL,3571,0,4,,0,314,182.91,187.19,186.29,185.11,22737666,-0.002102,28,4915140,31.48447
101594,20180702,03783310,AAPL,3571,0,4,,0,314,183.42,187.3,183.82,187.18,17731343,0.011183,28,4915140,31.48447
101594,20180703,03783310,AAPL,3571,0,4,,0,314,183.54,187.95,187.79,183.92,13954806,-0.017416,28,4915140,31.48447
101594,20180705,03783310,AAPL,3571,0,4,,0,314,184.28,186.41,185.26,185.4,16604248,0.008047,28,4915140,31.48447
101594,20180706,03783310,AAPL,3571,0,4,,0,314,185.2,188.434,185.42,187.97,17485245,0.013862,28,4915140,31.48447
101594,20180709,03783310,AAPL,3571,0,4,,0,314,189.3,190.68,189.5,190.58,19756634,0.013885,28,4915140,31.48447
101594,20180710,03783310,AAPL,3571,0,4,,0,314,190.1801,191.28,190.71,190.35,15939149,-0.001207,28,4915140,31.48447
101594,20180711,03783310,AAPL,3571,0,4,,0,314,187.61,189.7799,188.5,187.88,18831470,-0.012976,28,4915140,31.48447
101594,20180712,03783310,AAPL,3571,0,4,,0,314,189.31,191.41,189.53,191.03,18041131,0.016766,28,4915140,31.48447
101594,20180713,03783310,AAPL,3571,0,4,,0,314,190.9,191.84,191.08,191.33,12519792,0.00157,28,4915140,31.48447
101594,20180716,03783310,AAPL,3571,0,4,,0,314,190.415,192.65,191.52,190.91,15043110,-0.002195,28,4915140,31.48447
101594,20180717,03783310,AAPL,3571,0,4,,0,314,189.2,191.87,189.75,191.45,15534523,0.002829,28,4915140,31.48447
101594,20180718,03783310,AAPL,3571,0,4,,0,314,189.93,191.8,191.78,190.4,16393381,-0.005484,28,4915140,31.48447
101594,20180719,03783310,AAPL,3571,0,4,,0,314,189.69,192.55,189.69,191.88,20286752,0.007773,28,4915140,31.48447
101594,20180720,03783310,AAPL,3571,0,4,,0,314,190.17,192.43,191.78,191.44,20706042,-0.002293,28,4915140,31.48447
101594,20180723,03783310,AAPL,3571,0,4,,0,314,189.56,191.96,190.68,191.61,15989365,0.000888,28,4915140,31.48447
101594,20180724,03783310,AAPL,3571,0,4,,0,314,192.05,193.6601,192.45,193,18697898,0.007254,28,4915140,31.48447
